,MITRA,MITRA KERJA SAMA,JENIS KERJASAMA,SIGN,NOMOR,SIGN,NOMOR,MASA BERLAKU,MULAI,BERLAKU HINGGA,STATUS,DOKUMEN,
2018,BUMN,BNI,Perjanjian Kerja Sama,Ka. Pusdatin,03/SJ/KKP/PKS/IV/2018,Pimpinan Divisi Hubungan Kelembagaan,HLB/021/PKS/2018,5,4/5/2018,4/5/2023,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1W_uh_RYBXWK8_OXbxDftoXHxSWkXX7ET/view?usp=drive_link
2018,Ormas,MDPI,Kesepakatan Bersama,Sekjen KKP,02/SJ-KKP/KB/2018,Direktur Eksekutif MDPI,004/MDPI-KB/XII/2018,3,12/7/2018,12/7/2022,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1bVbgunScSyGNlRUEBOURJ4FT0Wff0_qE/view?usp=drive_link
2018,Swasta,PT. Martina Berto,Perjanjian Kerja Sama,Ka. BBRPPBKP,180/BRSDM/KKP/PKS/X/2018,Kuasa Direksi,49/LGL/MB-BRSDM/X/2018,3,10/9/2018,10/9/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1xOwrYXEVIqnYOYmu3gEbZRQy4WIO3E8i/view?usp=drive_link
2018,Universitas,Universitas Mulawarman,Kesepakatan Bersama,Kepala BRSDMKP,64/BRSDM/KKP/KB/IX/2018,Rektor Universitas Mulawarman,2111/UN17/KS/2018,3,9/19/2018,9/19/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1jjR3IpqcX4wpY8pkLQTVwmyQ-Rp0W4Bx/view?usp=drive_link
2018,K/L,"Badan Ketahanan Pangan
UGM",Nota Kesepahaman,Ka. Badan Ketahanan Pangan,B-386/HK.220/J/09/2018,Dirjen PDSPKP,05/PDSPKP-KKP/PKS/IX/2018,3,9/18/2018,9/18/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/15aa3HZM08qzh5Ftnc0G1mCybHYP2yCT7/view?usp=drive_link
2018,Universitas,Universitas Halu Oleo,Perjanjian Kerja Sama,Ka. BRSDMKP,98/BRSDMKP/KKP/PKS/IX/2018,Rektor Universitas Halu Oleo,2156/UN29/LL/2018,3,9/15/2018,9/15/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1YSIZnmXqAeovpdlWZAGN_2EJIVo32v1y/view?usp=drive_link
2018,K/L,"Lembaga Biologi Molekuler EIJKMAN, RISTEKDIKTI",Perjanjian Kerja Sama,Dirjen PRL,5/PRL/KKP/PKS/IX/2018,Kepala Lembaga Biologi Molekuler EIJKMAN,07.1/Eijk/MoU-18/IX/2018,3,9/3/2018,9/3/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1YTXEWlo1nJIgEuz4BdqHs2ULp3-xyHFI/view?usp=drive_link
2018,Ormas,Perhimpunan Pelestarian Burung Liar Indonesia,Perjanjian Kerja Sama,Dirjen PRL,03/PRL/KKP/PKS/VII/2018,Ketua Dewan Perhimpunan,002/PKS-BOGOR/VII/2018,3,7/11/2018,7/11/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1bvTPSwTDEUSDbfrp6VyROUZmquBWR7co/view?usp=drive_link
2018,BUMN,PT. Garam,Perjanjian Kerja Sama,Dir Jasa Kelautan,02/PRL/KKP/PKS/V/2018,Dir. Operasi,20/KS/V/2018,3,5/23/2018,5/23/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1VbEzFPcKcVnZ7-uRJUKJOtWKm6cykdfw/view?usp=drive_link
2018,Universitas,Universitas Singaperbangsa Karawang,Perjanjian Kerja Sama,Dir. Poltek KP Karawang,259.1/POLTEK.KRW/KS.310/III/2018,Rektor Universitas Singaperbangsa Karawang,494/UN64/KS/2018,3,5/23/2018,5/23/2021,Tidak Berlaku,Dokumen,https://drive.google.com/file/d/1wDceVrjM9GCJbiTJKXv21UtTPk0mxiRE/view?usp=drive_link
